,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR21095539.fastq.bam,"2 / 2024
0.10%","0 / 303
0.00%","0 / 2024
0.00%","1 / 217
0.46%","0 / 994
0.00%","0 / 8333
0.00%","0 / 3262
0.00%","1 / 496
0.20%","2453 / 2469
99.35%","975 / 2020
48.27%","102 / 103
99.03%","2181 / 2271
96.04%","0 / 101
0.00%","0 / 9
0.00%","3 / 999
0.30%","0 / 26
0.00%","1 / 1
100.00%","0 / 2
0.00%","6861 / 6881
99.71%","0 / 0
NA","0 / 0
NA","0 / 2024
0.00%","216 / 217
99.54%","0 / 533
0.00%","1432 / 9442
15.17%","493 / 496
99.40%","0 / 14
0.00%","80 / 151
52.98%","0 / 164
0.00%","9433 / 9462
99.69%","0 / 1003
0.00%","4 / 2017
0.20%","0 / 1089
0.00%","0 / 126
0.00%","1 / 159
0.63%","1 / 305
0.33%","0 / 533
0.00%","532 / 534
99.63%","303 / 303
100.00%","3467 / 3481
99.60%","927 / 994
93.26%","0 / 47
0.00%","7 / 9448
0.07%","0 / 0
NA","0 / 0
NA","0 / 751
0.00%","1 / 534
0.19%","0 / 1
0.00%","0 / 1924
0.00%","1296 / 1618
80.10%","0 / 1085
0.00%","0 / 0
NA","0 / 314
0.00%","2 / 1619
0.12%","0 / 8350
0.00%","1 / 496
0.20%","0 / 9
0.00%","0 / 26
0.00%","221 / 221
100.00%","230 / 534
43.07%"
SRR21095540.fastq.bam,"5 / 4518
0.11%","0 / 742
0.00%","0 / 4516
0.00%","1 / 412
0.24%","0 / 3
0.00%","0 / 14620
0.00%","1 / 6539
0.02%","0 / 2563
0.00%","10463 / 10520
99.46%","1869 / 4216
44.33%","1 / 1
100.00%","5060 / 5218
96.97%","0 / 344
0.00%","0 / 39
0.00%","2 / 1873
0.11%","0 / 4
0.00%","3 / 3
100.00%","0 / 0
NA","8561 / 8580
99.78%","0 / 0
NA","1 / 4
25.00%","0 / 4516
0.00%","406 / 412
98.54%","3 / 608
0.49%","130 / 16823
0.77%","2554 / 2563
99.65%","0 / 84
0.00%","222 / 626
35.46%","0 / 403
0.00%","16810 / 16857
99.72%","4 / 3478
0.12%","0 / 1
0.00%","1 / 2097
0.05%","0 / 271
0.00%","1 / 370
0.27%","0 / 3
0.00%","1 / 2247
0.04%","607 / 616
98.54%","708 / 743
95.29%","13988 / 14036
99.66%","1965 / 2065
95.16%","0 / 123
0.00%","17 / 16830
0.10%","0 / 0
NA","0 / 4
0.00%","0 / 1604
0.00%","0 / 616
0.00%","0 / 0
NA","0 / 4228
0.00%","0 / 3
0.00%","0 / 2093
0.00%","0 / 0
NA","0 / 1170
0.00%","1 / 2782
0.04%","0 / 14639
0.00%","0 / 2563
0.00%","0 / 39
0.00%","0 / 4
0.00%","417 / 418
99.76%","236 / 609
38.75%"
SRR21095541.fastq.bam,"4 / 3298
0.12%","0 / 493
0.00%","0 / 3297
0.00%","0 / 334
0.00%","1 / 1575
0.06%","0 / 10558
0.00%","0 / 3858
0.00%","2 / 1333
0.15%","5740 / 5787
99.19%","1300 / 2808
46.30%","97 / 99
97.98%","3768 / 3963
95.08%","0 / 313
0.00%","0 / 22
0.00%","0 / 1435
0.00%","0 / 11
0.00%","6 / 6
100.00%","0 / 0
NA","7740 / 7758
99.77%","0 / 0
NA","0 / 4
0.00%","0 / 3297
0.00%","326 / 334
97.60%","0 / 460
0.00%","143 / 12254
1.17%","1327 / 1333
99.55%","0 / 79
0.00%","305 / 531
57.44%","0 / 356
0.00%","12239 / 12296
99.54%","1 / 1753
0.06%","0 / 1
0.00%","1 / 1602
0.06%","0 / 263
0.00%","1 / 256
0.39%","0 / 4
0.00%","0 / 1575
0.00%","461 / 465
99.14%","481 / 493
97.57%","7513 / 7554
99.46%","1564 / 1575
99.30%","0 / 65
0.00%","10 / 12257
0.08%","0 / 0
NA","0 / 4
0.00%","0 / 1253
0.00%","0 / 465
0.00%","0 / 0
NA","0 / 3352
0.00%","1981 / 2137
92.70%","0 / 1598
0.00%","0 / 0
NA","0 / 1008
0.00%","4 / 2136
0.19%","0 / 10588
0.00%","2 / 1333
0.15%","0 / 22
0.00%","4 / 15
26.67%","337 / 337
100.00%","208 / 465
44.73%"
SRR21095542.fastq.bam,"8 / 4295
0.19%","0 / 528
0.00%","0 / 4292
0.00%","2 / 439
0.46%","2 / 2700
0.07%","0 / 12994
0.00%","3 / 7805
0.04%","1 / 2389
0.04%","8948 / 9024
99.16%","1615 / 3528
45.78%","3 / 3
100.00%","5324 / 5602
95.04%","1 / 427
0.23%","0 / 37
0.00%","110 / 2441
4.51%","0 / 26
0.00%","25 / 25
100.00%","0 / 0
NA","13554 / 13578
99.82%","0 / 0
NA","2 / 5
40.00%","0 / 4292
0.00%","430 / 439
97.95%","0 / 785
0.00%","1751 / 15983
10.96%","2379 / 2389
99.58%","0 / 117
0.00%","0 / 1
0.00%","0 / 334
0.00%","15885 / 16051
98.97%","5 / 5045
0.10%","0 / 3
0.00%","0 / 2207
0.00%","0 / 378
0.00%","2 / 411
0.49%","0 / 3
0.00%","0 / 2262
0.00%","789 / 800
98.62%","485 / 530
91.51%","14038 / 14106
99.52%","2158 / 2700
79.93%","0 / 137
0.00%","13 / 15995
0.08%","0 / 0
NA","0 / 5
0.00%","0 / 1540
0.00%","0 / 800
0.00%","0 / 0
NA","0 / 5631
0.00%","2703 / 3747
72.14%","0 / 2203
0.00%","0 / 0
NA","0 / 1261
0.00%","6 / 3743
0.16%","0 / 13044
0.00%","1 / 2389
0.04%","0 / 37
0.00%","3 / 29
10.34%","445 / 447
99.55%","225 / 796
28.27%"
SRR21095543.fastq.bam,"2 / 1010
0.20%","0 / 166
0.00%","0 / 1010
0.00%","0 / 140
0.00%","0 / 1
0.00%","0 / 4397
0.00%","0 / 1278
0.00%","0 / 1139
0.00%","3703 / 3736
99.12%","455 / 1021
44.56%","140 / 143
97.90%","2314 / 2469
93.72%","0 / 441
0.00%","0 / 3
0.00%","65 / 634
10.25%","0 / 7
0.00%","0 / 0
NA","0 / 0
NA","5683 / 5697
99.75%","0 / 0
NA","0 / 0
NA","0 / 1010
0.00%","136 / 140
97.14%","3 / 457
0.66%","249 / 5520
4.51%","1134 / 1139
99.56%","1 / 49
2.04%","371 / 549
67.58%","0 / 185
0.00%","5519 / 5546
99.51%","1 / 1657
0.06%","2 / 1025
0.20%","0 / 1433
0.00%","0 / 230
0.00%","1 / 209
0.48%","0 / 169
0.00%","0 / 719
0.00%","457 / 460
99.35%","165 / 166
99.40%","5383 / 5411
99.48%","769 / 994
77.36%","0 / 59
0.00%","6 / 5527
0.11%","0 / 0
NA","0 / 0
NA","0 / 397
0.00%","1 / 460
0.22%","0 / 0
NA","0 / 3609
0.00%","0 / 1
0.00%","0 / 1430
0.00%","0 / 0
NA","0 / 939
0.00%","2 / 1575
0.13%","0 / 4416
0.00%","0 / 1139
0.00%","0 / 3
0.00%","1 / 8
12.50%","140 / 142
98.59%","226 / 458
49.34%"
SRR21095544.fastq.bam,"4 / 2432
0.16%","0 / 160
0.00%","0 / 2430
0.00%","0 / 176
0.00%","0 / 1
0.00%","0 / 8996
0.00%","0 / 4338
0.00%","0 / 1128
0.00%","6333 / 6378
99.29%","937 / 2275
41.19%","0 / 0
NA","2305 / 2429
94.90%","0 / 155
0.00%","0 / 17
0.00%","3 / 1178
0.25%","0 / 8
0.00%","5 / 5
100.00%","0 / 0
NA","6515 / 6526
99.83%","0 / 0
NA","0 / 3
0.00%","0 / 2430
0.00%","172 / 176
97.73%","1 / 280
0.36%","32 / 10418
0.31%","1126 / 1128
99.82%","0 / 25
0.00%","439 / 551
79.67%","0 / 241
0.00%","10406 / 10453
99.55%","0 / 2711
0.00%","4 / 2270
0.18%","0 / 1180
0.00%","0 / 169
0.00%","0 / 206
0.00%","0 / 3
0.00%","0 / 1119
0.00%","279 / 286
97.55%","160 / 160
100.00%","9082 / 9120
99.58%","1288 / 1298
99.23%","0 / 70
0.00%","12 / 10419
0.12%","0 / 0
NA","0 / 3
0.00%","0 / 903
0.00%","0 / 286
0.00%","0 / 0
NA","0 / 1792
0.00%","0 / 1
0.00%","0 / 1179
0.00%","0 / 0
NA","0 / 1523
0.00%","0 / 1689
0.00%","0 / 9019
0.00%","0 / 1128
0.00%","0 / 17
0.00%","0 / 8
0.00%","178 / 179
99.44%","111 / 285
38.95%"
SRR21095545.fastq.bam,"5 / 1803
0.28%","0 / 267
0.00%","0 / 1796
0.00%","0 / 148
0.00%","0 / 1
0.00%","0 / 6386
0.00%","1 / 1825
0.05%","0 / 1224
0.00%","3200 / 3257
98.25%","540 / 1353
39.91%","3 / 3
100.00%","2115 / 2296
92.12%","0 / 256
0.00%","0 / 11
0.00%","2 / 801
0.25%","0 / 3
0.00%","13 / 13
100.00%","0 / 0
NA","4132 / 4143
99.73%","0 / 0
NA","5 / 6
83.33%","0 / 1796
0.00%","143 / 148
96.62%","2 / 370
0.54%","287 / 7436
3.86%","1218 / 1224
99.51%","1 / 30
3.33%","150 / 350
42.86%","0 / 130
0.00%","7466 / 7521
99.27%","1 / 1220
0.08%","0 / 2
0.00%","1 / 1067
0.09%","0 / 188
0.00%","3 / 163
1.84%","0 / 1
0.00%","0 / 974
0.00%","370 / 371
99.73%","244 / 272
89.71%","4438 / 4492
98.80%","714 / 820
87.07%","0 / 42
0.00%","13 / 7461
0.17%","0 / 0
NA","0 / 6
0.00%","0 / 597
0.00%","0 / 371
0.00%","0 / 0
NA","0 / 1744
0.00%","0 / 1
0.00%","0 / 1064
0.00%","0 / 0
NA","0 / 723
0.00%","3 / 1396
0.21%","0 / 6473
0.00%","0 / 1224
0.00%","0 / 11
0.00%","3 / 6
50.00%","158 / 158
100.00%","117 / 369
31.71%"
SRR21095546.fastq.bam,"9 / 3762
0.24%","0 / 446
0.00%","0 / 3712
0.00%","1 / 368
0.27%","0 / 1
0.00%","0 / 10187
0.00%","0 / 3664
0.00%","1 / 760
0.13%","5198 / 5332
97.49%","1561 / 3804
41.04%","183 / 188
97.34%","2512 / 2723
92.25%","0 / 134
0.00%","0 / 28
0.00%","81 / 1742
4.65%","0 / 8
0.00%","61 / 61
100.00%","2 / 2
100.00%","11934 / 11964
99.75%","0 / 0
NA","10 / 13
76.92%","0 / 3712
0.00%","356 / 368
96.74%","0 / 3
0.00%","28 / 12018
0.23%","757 / 760
99.61%","0 / 90
0.00%","381 / 681
55.95%","0 / 317
0.00%","12084 / 12191
99.12%","4 / 2108
0.19%","0 / 5
0.00%","0 / 979
0.00%","0 / 194
0.00%","3 / 255
1.18%","0 / 1
0.00%","0 / 1867
0.00%","640 / 645
99.22%","395 / 454
87.00%","7337 / 7543
97.27%","1356 / 1378
98.40%","0 / 55
0.00%","17 / 12059
0.14%","0 / 0
NA","0 / 13
0.00%","0 / 1331
0.00%","3 / 645
0.47%","0 / 0
NA","0 / 2378
0.00%","0 / 1
0.00%","0 / 974
0.00%","0 / 0
NA","0 / 1204
0.00%","10 / 2431
0.41%","0 / 10359
0.00%","1 / 760
0.13%","0 / 28
0.00%","6 / 14
42.86%","390 / 391
99.74%","3 / 3
100.00%"
SRR21095547.fastq.bam,"4 / 3036
0.13%","0 / 425
0.00%","0 / 3036
0.00%","1 / 356
0.28%","4 / 1452
0.28%","0 / 9661
0.00%","1 / 3138
0.03%","0 / 1070
0.00%","4185 / 4222
99.12%","764 / 1778
42.97%","1 / 1
100.00%","3422 / 3660
93.50%","0 / 143
0.00%","0 / 14
0.00%","1 / 1487
0.07%","0 / 235
0.00%","2 / 2
100.00%","0 / 0
NA","4232 / 4246
99.67%","0 / 0
NA","0 / 2
0.00%","0 / 3036
0.00%","325 / 356
91.29%","0 / 639
0.00%","21 / 11221
0.19%","991 / 1070
92.62%","0 / 36
0.00%","354 / 587
60.31%","0 / 170
0.00%","11218 / 11257
99.65%","1 / 1765
0.06%","3 / 1778
0.17%","3 / 1120
0.27%","0 / 129
0.00%","0 / 91
0.00%","0 / 2
0.00%","0 / 1253
0.00%","640 / 643
99.53%","424 / 425
99.76%","5973 / 6004
99.48%","1438 / 1452
99.04%","0 / 28
0.00%","6 / 11224
0.05%","0 / 0
NA","0 / 2
0.00%","0 / 1125
0.00%","0 / 643
0.00%","0 / 1
0.00%","125 / 3654
3.42%","1937 / 2177
88.98%","0 / 1118
0.00%","0 / 0
NA","0 / 1072
0.00%","4 / 2177
0.18%","0 / 9689
0.00%","0 / 1070
0.00%","0 / 14
0.00%","2 / 237
0.84%","358 / 358
100.00%","273 / 642
42.52%"
SRR21095548.fastq.bam,"7 / 4665
0.15%","0 / 262
0.00%","0 / 4664
0.00%","1 / 378
0.26%","59 / 849
6.95%","0 / 18962
0.00%","0 / 1571
0.00%","1 / 2606
0.04%","3389 / 3407
99.47%","363 / 646
56.19%","98 / 99
98.99%","3755 / 3872
96.98%","3 / 52
5.77%","0 / 39
0.00%","2 / 2383
0.08%","0 / 4
0.00%","10 / 11
90.91%","0 / 1
0.00%","2979 / 2985
99.80%","0 / 0
NA","0 / 0
NA","0 / 4664
0.00%","370 / 378
97.88%","2 / 820
0.24%","3379 / 19887
16.99%","2597 / 2606
99.65%","0 / 23
0.00%","71 / 755
9.40%","0 / 187
0.00%","19861 / 19924
99.68%","3 / 4310
0.07%","0 / 1
0.00%","0 / 2338
0.00%","0 / 294
0.00%","2 / 205
0.98%","0 / 263
0.00%","0 / 1644
0.00%","823 / 826
99.64%","261 / 262
99.62%","7566 / 7736
97.80%","784 / 849
92.34%","0 / 158
0.00%","12 / 19892
0.06%","0 / 0
NA","0 / 0
NA","0 / 1735
0.00%","3 / 826
0.36%","0 / 1
0.00%","0 / 6192
0.00%","1408 / 1723
81.72%","0 / 2334
0.00%","0 / 0
NA","0 / 130
0.00%","66 / 1722
3.83%","0 / 18994
0.00%","1 / 2606
0.04%","0 / 39
0.00%","0 / 4
0.00%","379 / 380
99.74%","320 / 825
38.79%"
SRR21095549.fastq.bam,"2 / 556
0.36%","0 / 172
0.00%","0 / 554
0.00%","0 / 175
0.00%","0 / 1281
0.00%","0 / 9083
0.00%","0 / 2793
0.00%","0 / 716
0.00%","2981 / 3029
98.42%","981 / 2493
39.35%","45 / 47
95.74%","1834 / 2025
90.57%","0 / 27
0.00%","0 / 15
0.00%","2 / 1322
0.15%","0 / 115
0.00%","12 / 12
100.00%","0 / 0
NA","1564 / 1567
99.81%","0 / 0
NA","2 / 2
100.00%","0 / 554
0.00%","175 / 175
100.00%","0 / 2
0.00%","22 / 10636
0.21%","713 / 716
99.58%","0 / 15
0.00%","169 / 309
54.69%","0 / 127
0.00%","10658 / 10732
99.31%","3 / 2061
0.15%","0 / 2
0.00%","0 / 265
0.00%","0 / 63
0.00%","1 / 204
0.49%","1 / 176
0.57%","0 / 1743
0.00%","306 / 311
98.39%","171 / 173
98.84%","5076 / 5123
99.08%","1254 / 1281
97.89%","0 / 27
0.00%","19 / 10663
0.18%","0 / 0
NA","0 / 2
0.00%","0 / 183
0.00%","0 / 311
0.00%","0 / 0
NA","0 / 1393
0.00%","1699 / 1833
92.69%","0 / 262
0.00%","0 / 0
NA","0 / 481
0.00%","2 / 1840
0.11%","0 / 9188
0.00%","0 / 716
0.00%","0 / 15
0.00%","2 / 117
1.71%","189 / 189
100.00%","2 / 2
100.00%"
SRR21095551.fastq.bam,"4 / 1438
0.28%","0 / 43
0.00%","0 / 1437
0.00%","0 / 146
0.00%","1 / 2802
0.04%","0 / 5621
0.00%","1 / 2233
0.04%","0 / 1418
0.00%","7698 / 7764
99.15%","1666 / 3626
45.95%","0 / 0
NA","653 / 801
81.52%","0 / 938
0.00%","599 / 602
99.50%","1189 / 1206
98.59%","2 / 2
100.00%","7 / 7
100.00%","0 / 0
NA","3374 / 3379
99.85%","0 / 0
NA","1 / 4
25.00%","0 / 1437
0.00%","145 / 146
99.32%","0 / 220
0.00%","18 / 8762
0.21%","1410 / 1418
99.44%","0 / 1
0.00%","190 / 521
36.47%","0 / 359
0.00%","8756 / 8792
99.59%","2 / 3290
0.06%","0 / 1
0.00%","1 / 503
0.20%","0 / 83
0.00%","0 / 184
0.00%","0 / 47
0.00%","0 / 1222
0.00%","221 / 226
97.79%","43 / 44
97.73%","11042 / 11097
99.50%","2783 / 2801
99.36%","0 / 14
0.00%","5 / 8765
0.06%","0 / 0
NA","0 / 4
0.00%","0 / 475
0.00%","0 / 226
0.00%","0 / 1
0.00%","0 / 2177
0.00%","3254 / 3355
96.99%","0 / 502
0.00%","0 / 0
NA","0 / 0
NA","3 / 3349
0.09%","0 / 5641
0.00%","0 / 1418
0.00%","0 / 0
NA","2 / 2
100.00%","152 / 152
100.00%","122 / 223
54.71%"
SRR21095552.fastq.bam,"5 / 3498
0.14%","0 / 370
0.00%","0 / 3498
0.00%","0 / 478
0.00%","0 / 1130
0.00%","0 / 6784
0.00%","2 / 3749
0.05%","0 / 1082
0.00%","4916 / 4948
99.35%","679 / 1621
41.89%","120 / 122
98.36%","2825 / 2947
95.86%","0 / 114
0.00%","0 / 26
0.00%","1 / 1530
0.07%","0 / 6
0.00%","0 / 0
NA","0 / 0
NA","9549 / 9574
99.74%","0 / 0
NA","1 / 4
25.00%","0 / 3498
0.00%","464 / 478
97.07%","0 / 1
0.00%","21 / 7994
0.26%","1074 / 1082
99.26%","1 / 40
2.50%","242 / 493
49.09%","0 / 358
0.00%","7944 / 8018
99.08%","0 / 2455
0.00%","2 / 1627
0.12%","2 / 1112
0.18%","0 / 166
0.00%","2 / 315
0.63%","0 / 3
0.00%","0 / 1596
0.00%","805 / 814
98.89%","358 / 371
96.50%","7402 / 7422
99.73%","1119 / 1130
99.03%","0 / 57
0.00%","9 / 8000
0.11%","0 / 0
NA","0 / 4
0.00%","0 / 1336
0.00%","1 / 814
0.12%","0 / 0
NA","0 / 2757
0.00%","1715 / 2013
85.20%","0 / 1111
0.00%","0 / 0
NA","0 / 737
0.00%","2 / 2015
0.10%","0 / 6798
0.00%","0 / 1082
0.00%","0 / 26
0.00%","1 / 7
14.29%","478 / 481
99.38%","1 / 1
100.00%"
SRR21095553.fastq.bam,"16 / 6927
0.23%","0 / 1113
0.00%","0 / 6923
0.00%","1 / 686
0.15%","1 / 2029
0.05%","0 / 15331
0.00%","2 / 6275
0.03%","1 / 3141
0.03%","5578 / 5650
98.73%","1337 / 3152
42.42%","122 / 124
98.39%","4167 / 4480
93.01%","0 / 329
0.00%","0 / 28
0.00%","4 / 2613
0.15%","0 / 196
0.00%","11 / 13
84.62%","0 / 1
0.00%","8463 / 8489
99.69%","0 / 0
NA","1 / 9
11.11%","0 / 6923
0.00%","674 / 686
98.25%","0 / 1
0.00%","33 / 17602
0.19%","3127 / 3141
99.55%","0 / 68
0.00%","466 / 857
54.38%","0 / 459
0.00%","17604 / 17676
99.59%","1 / 3929
0.03%","0 / 1
0.00%","2 / 2166
0.09%","0 / 276
0.00%","2 / 390
0.51%","0 / 8
0.00%","0 / 3026
0.00%","1466 / 1474
99.46%","1133 / 1137
99.65%","9543 / 9614
99.26%","2012 / 2030
99.11%","0 / 105
0.00%","19 / 17618
0.11%","0 / 0
NA","0 / 9
0.00%","0 / 2525
0.00%","3 / 1474
0.20%","0 / 0
NA","0 / 4961
0.00%","3148 / 3726
84.49%","0 / 2163
0.00%","0 / 0
NA","0 / 1811
0.00%","4 / 3726
0.11%","0 / 15390
0.00%","1 / 3141
0.03%","0 / 28
0.00%","1 / 197
0.51%","695 / 697
99.71%","1 / 1
100.00%"
SRR21095555.fastq.bam,"2 / 2101
0.10%","0 / 346
0.00%","0 / 2098
0.00%","0 / 225
0.00%","0 / 1504
0.00%","0 / 12237
0.00%","0 / 3796
0.00%","0 / 1594
0.00%","5443 / 5493
99.09%","1223 / 2810
43.52%","83 / 85
97.65%","3416 / 3653
93.51%","0 / 265
0.00%","0 / 13
0.00%","1 / 1240
0.08%","0 / 19
0.00%","4 / 4
100.00%","0 / 0
NA","5602 / 5612
99.82%","0 / 0
NA","0 / 1
0.00%","0 / 2098
0.00%","224 / 225
99.56%","2 / 658
0.30%","467 / 13877
3.37%","1582 / 1594
99.25%","2 / 83
2.41%","449 / 679
66.13%","0 / 378
0.00%","13868 / 13931
99.55%","3 / 2783
0.11%","0 / 2
0.00%","4 / 1670
0.24%","0 / 211
0.00%","1 / 466
0.21%","0 / 1
0.00%","0 / 1657
0.00%","657 / 660
99.55%","346 / 346
100.00%","8265 / 8310
99.46%","1488 / 1504
98.94%","0 / 73
0.00%","14 / 13881
0.10%","0 / 0
NA","0 / 1
0.00%","0 / 797
0.00%","2 / 660
0.30%","0 / 0
NA","0 / 3081
0.00%","2015 / 2274
88.61%","0 / 1666
0.00%","0 / 0
NA","0 / 1682
0.00%","0 / 2276
0.00%","0 / 12278
0.00%","0 / 1594
0.00%","0 / 13
0.00%","3 / 22
13.64%","225 / 226
99.56%","263 / 660
39.85%"
SRR21095556.fastq.bam,"3 / 2246
0.13%","0 / 182
0.00%","0 / 2245
0.00%","2 / 254
0.79%","2 / 1310
0.15%","0 / 7378
0.00%","0 / 2607
0.00%","0 / 692
0.00%","4897 / 4952
98.89%","530 / 1462
36.25%","79 / 79
100.00%","3034 / 3155
96.16%","0 / 155
0.00%","0 / 25
0.00%","1 / 770
0.13%","0 / 1
0.00%","7 / 7
100.00%","0 / 0
NA","6726 / 6742
99.76%","0 / 0
NA","0 / 1
0.00%","0 / 2245
0.00%","250 / 254
98.43%","0 / 553
0.00%","322 / 8815
3.65%","681 / 692
98.41%","1 / 55
1.82%","277 / 478
57.95%","0 / 195
0.00%","8797 / 8839
99.52%","2 / 2311
0.09%","5 / 1457
0.34%","0 / 1
0.00%","0 / 236
0.00%","11 / 163
6.75%","0 / 1
0.00%","0 / 1019
0.00%","555 / 561
98.93%","182 / 182
100.00%","7249 / 7294
99.38%","1303 / 1310
99.47%","0 / 75
0.00%","9 / 8818
0.10%","0 / 0
NA","0 / 1
0.00%","0 / 830
0.00%","1 / 561
0.18%","0 / 0
NA","0 / 2794
0.00%","1717 / 1972
87.07%","0 / 1637
0.00%","0 / 0
NA","0 / 466
0.00%","2 / 1977
0.10%","0 / 7395
0.00%","0 / 692
0.00%","0 / 25
0.00%","0 / 1
0.00%","259 / 259
100.00%","205 / 560
36.61%"
